nama_resep,status,peringkat,match_persen
Gurame Saus Padang,Berhasil,1,100
Mujaer asam pedas manis,Berhasil,2,100
Gurame Asam manis,Berhasil,1,100
Avocado Tuna Salad,Berhasil,1,100
Pempek kulit ikan tenggiri,Berhasil,1,100
Tumis Tongkol Petai,Berhasil,1,100
Gurame tahu tauco,Berhasil,1,100
Ikan Patin,Berhasil,1,100
2. Gulai Ikan Kakap Merah khas Padang,Berhasil,1,100
Gurame crispy asam manis ala amih fatih,Berhasil,1,100
Balado Tongkol & Tahu,Berhasil,1,100
Balado Ikan Sarden,Berhasil,1,100
Ikan Nila (saos pedas asam manis),Berhasil,1,100
Bandeng presto,Berhasil,1,100
1. Pesmol Ikan Kerapu,Berhasil,2,100
Ikan dencis bumbu sarden pedas nyemek-nyemek,Berhasil,1,100
Sambal ikan Lele,Berhasil,1,100
Ikan cucut sambal pedas pake pete,Berhasil,1,100
Dadar telor ikan tongkol,Berhasil,1,100
Pindang patin,Berhasil,1,100
Pepes Aceh ikan tongkol,Berhasil,1,100
Tuna Tepung Siram Saus,Berhasil,1,100
Ikan Dencis Bumbu Kuning Cabe Rawit,Berhasil,1,100
Sop Ikan Patin,Berhasil,1,100
Otak-otak ikan tengiri,Berhasil,1,100
Gulai ikan mas kacang panjang,Berhasil,1,100
Pindang Serani Ikan Patin,Berhasil,1,100
Ikan tongkol bumbu kuning sunda,Berhasil,2,100
Gurame saos mangga,Berhasil,3,100
Spageti Tuna Pedas,Berhasil,1,100
Tuna Asam Manis,Berhasil,1,100
Lele sambal kemangi delecious,Berhasil,1,100
Cireng isi tongkol suwir pedas,Berhasil,1,100
Bandeng kecil bumbu acar,Berhasil,1,100
Sarden homemade simple,Berhasil,1,100
Pindang bandeng kecap,Berhasil,2,100
Lele sambel kemangi terasi,Berhasil,1,100
Gurame Asam Manis Seadanya,Berhasil,2,100
Ikan Tenggiri Pesmol Segar,Berhasil,1,100
Ikan tongkol kemangi,Berhasil,1,100
Ikan pesmol nila,Berhasil,1,100
Ikan Tongkol Kemangi Kuah Santan,Berhasil,1,100
IKAN GURAME SAMBEL JELETOT.... BY. Dapoer Linggar,Berhasil,3,100
Nila Pedas Manis,Berhasil,3,100
Acar Ikan Nila,Berhasil,1,100
Pindang Tongkol Bumbu Tomat,Berhasil,4,100
Tuna Tahu Bumbu Merah 🐟,Berhasil,1,100
Sup Gurame Honje,Berhasil,1,100
Ikan Tongkol Bumbu Kuning,Berhasil,1,100
Tongkol sarden pete uendesss,Berhasil,2,100
Mujaer Bumbu Kuning Kemangi,Berhasil,4,100
Pampis tongkol,Berhasil,1,100
Hot Tuna Puffs Super Simple,Berhasil,1,100
Pais Patin Banjar,Berhasil,2,100
Nasi goreng tempe salmon,Berhasil,1,100
Sambal Sarden,Berhasil,5,100
Ikan Tongkol Suwir Pedas,Berhasil,1,100
Woku Kepala Tongkol,Berhasil,2,100
Chilli Tuna Puff Kilat Super Yummy 😙,Berhasil,2,100
Bandeng Cabe Ijo,Berhasil,1,100
Acar Gurame Pedas #olahan ikan,Berhasil,1,100
Sup Patin Gurih,Berhasil,2,100
Somay ikan tuna,Berhasil,1,100
Tomyam (jawa) ikan patin sederhana dan praktis,Berhasil,1,100
Balado ikan cakalang dan telur,Berhasil,1,100
Pempek Adaan Tenggiri,Berhasil,1,100
Ikan Kembung Sarden,Berhasil,6,100
Asam padeh (asam pedas)patin tahu,Berhasil,1,100
Pindang ikan patin,Berhasil,2,100
Patin Masak Kuning Belimbing Wuluh,Berhasil,3,100
Terik ayam tempe telor,Berhasil,1,100
Nugget tempe,Berhasil,1,100
Patty Tempe,Berhasil,1,100
Perkedel Tempe,Berhasil,1,100
Nugget Tempe Simple,Berhasil,1,100
Sarden ikan pindang tempe pedas adam manis,Berhasil,1,100
Sayur tempe mix tahu alaala kari,Berhasil,1,100
Tempe goreng segitiga,Berhasil,1,100
Tempe Goreng Tepung,Berhasil,1,100
Nugget tempe,Berhasil,2,100
Tumis Kacang Panjang Tempe,Berhasil,1,100
Orek tempe+kacang+teri simple,Berhasil,1,100
Tempe & Tahu Bacem,Berhasil,1,100
Orek tempe pedas manis,Berhasil,1,100
Jangan Ndeso Alakadarnya a.k.a Sayur Tempe Gunungkidul,Berhasil,1,100
Jangan Tempe Tahu,Berhasil,1,100
Ayam Dan Tempe Goreng Serundeng,Berhasil,1,100
Tumis Udang tempe kacang panjang,Berhasil,1,100
Terik tahu tempe labu siam jipang,Berhasil,1,100
Tempe Goreng Telur,Berhasil,1,100
Oseng tempe buncis,Berhasil,1,100
Tumis pedas manis tempe buncis,Berhasil,1,100
Stik Tempe Racik,Berhasil,2,100
"Tumis tempe, udang,ati ampela",Berhasil,1,100
Oseng buncis tempe,Berhasil,1,100
Perkedel Tempe,Berhasil,1,100
Oseng Tempe Buncis,Berhasil,1,100
Nasi goreng tempe salmon,Berhasil,1,100
Oseng Tempe Kacang Panjang Udang,Berhasil,1,100
Nugget tempe keju,Berhasil,1,100
Tempe Tumis Ikan Asin,Berhasil,1,100
Oseng Teri Tempe,Berhasil,2,100
Tumis buncis tempe,Berhasil,1,100
Tempe mendoan melet,Berhasil,1,100
"Udang, Tempe, Terong balado",Berhasil,1,100
Tumis tempe kacang panjang,Berhasil,1,100
Tahu tempe pedes manis,Berhasil,1,100
Orek tempe ikan cuwe',Berhasil,1,100
Abon ikan tokol + tempe,Berhasil,1,100
Tahu tempe bacem,Berhasil,2,100
Tahu Tempe Bacem,Berhasil,2,100
Tahu tempe telor bumbu bali ala mommies,Berhasil,1,100
Sate Tahu & Tempe (Teflon),Berhasil,4,100
Oseng Mie Tempe ala QeeLa's Kitchen,Berhasil,1,100
Lodeh tatem(tahu tempe),Berhasil,1,100
Orak arik tempe tahu teri,Berhasil,1,100
Terik Tempe,Berhasil,1,100
Lodeh krecek tahu tempe,Berhasil,1,100
Nugget tempe bumbu kuning,Berhasil,3,100
Tempe penyet kemangi icha,Berhasil,1,100
Opor Ayam Tempe,Berhasil,1,100
"Ikan asin 2T(terong, tempe)",Berhasil,1,100
Oseng Tempe Buncis,Berhasil,1,100
Bakso Tempe,Berhasil,1,100
Stek tempe,Berhasil,1,100
Tahu + Tempe + Teri Pedas Manis,Berhasil,1,100
Orek tempe cabe hijau,Berhasil,1,100
Tumis kacang panjang tempe santan,Berhasil,1,100
